amount,city,customer_id,device_id,edge_cases,is_fraud,merchant_id,payment_method,scenario_id,scenario_type,stage,timestamp,transaction_id
2700.15,Pune,C0002,D0002,,0,M0047,UPI,SCENARIO-C0002,TRANSACTION_ANOMALY,baseline,2025-07-14 15:30:57,T000020
3108.71,Delhi,C0003,D0003,,0,M0101,UPI,SCENARIO-C0003,COMMUNICATION_SCAM,baseline,2025-06-21 11:46:21,T000021
3807.17,Delhi,C0003,D0003,off_hour,0,M0017,UPI,SCENARIO-C0003,COMMUNICATION_SCAM,baseline,2025-06-22 07:08:53,T000022
3260.94,Delhi,C0003,D0003,,0,M0116,UPI,SCENARIO-C0003,COMMUNICATION_SCAM,baseline,2025-06-26 09:37:01,T000023
3001.27,Delhi,C0003,D0003,,0,M0116,UPI,SCENARIO-C0003,COMMUNICATION_SCAM,baseline,2025-06-28 18:53:47,T000024
4321.24,Delhi,C0003,D0003,,0,M0101,UPI,SCENARIO-C0003,COMMUNICATION_SCAM,baseline,2025-07-02 16:09:59,T000025
5997.06,Delhi,C0003,D0003,,0,M0101,UPI,SCENARIO-C0003,COMMUNICATION_SCAM,baseline,2025-07-07 12:40:48,T000026
4821.2,Delhi,C0003,D0003,,0,M0037,UPI,SCENARIO-C0003,COMMUNICATION_SCAM,baseline,2025-07-10 10:10:02,T000027
4889.64,Delhi,C0003,D0003,,0,M0017,UPI,SCENARIO-C0003,COMMUNICATION_SCAM,baseline,2025-07-15 20:53:54,T000028
4701.01,Delhi,C0003,D0003,,0,M0116,UPI,SCENARIO-C0003,COMMUNICATION_SCAM,baseline,2025-07-20 09:00:09,T000029
2326.1,Delhi,C0003,D0003,,0,M0037,UPI,SCENARIO-C0003,COMMUNICATION_SCAM,baseline,2025-07-20 15:40:01,T000030
2309.85,Hyderabad,C0004,D0004,travel_episode,0,M0053,CARD,SCENARIO-C0004,TRANSACTION_ANOMALY,baseline,2025-06-25 11:26:20,T000031
2396.61,Delhi,C0004,D0004,,0,M0032,CARD,SCENARIO-C0004,TRANSACTION_ANOMALY,baseline,2025-06-26 13:35:47,T000032
3042.28,Delhi,C0004,D0004,,0,M0017,CARD,SCENARIO-C0004,TRANSACTION_ANOMALY,baseline,2025-06-26 22:14:06,T000033
3048.78,Delhi,C0004,D0004,,0,M0003,CARD,SCENARIO-C0004,TRANSACTION_ANOMALY,baseline,2025-07-06 12:03:44,T000034
6589.44,Delhi,C0004,D0004,large_purchase,0,M0116,CARD,SCENARIO-C0004,TRANSACTION_ANOMALY,baseline,2025-07-07 13:59:36,T000035
3437.96,Delhi,C0004,D0004,,0,M0116,CARD,SCENARIO-C0004,TRANSACTION_ANOMALY,baseline,2025-07-07 21:58:10,T000036
3250.41,Delhi,C0004,D0004,,0,M0017,CARD,SCENARIO-C0004,TRANSACTION_ANOMALY,baseline,2025-07-12 19:59:37,T000037
2726.46,Delhi,C0004,D0004,,0,M0032,CARD,SCENARIO-C0004,TRANSACTION_ANOMALY,baseline,2025-07-16 20:08:57,T000038
8523.84,Delhi,C0004,D0004,large_purchase,0,M0116,CARD,SCENARIO-C0004,TRANSACTION_ANOMALY,baseline,2025-07-17 13:44:15,T000039
3232.66,Delhi,C0004,D0004,,0,M0116,CARD,SCENARIO-C0004,TRANSACTION_ANOMALY,baseline,2025-07-18 12:37:14,T000040
3256.02,Bangalore,C0005,D0005,,0,M0018,UPI,SCENARIO-C0005,COMMUNICATION_SCAM,baseline,2025-06-30 12:32:42,T000041
3369.43,Bangalore,C0005,D0005,off_hour,0,M0107,UPI,SCENARIO-C0005,COMMUNICATION_SCAM,baseline,2025-07-03 07:20:24,T000042
3427.03,Bangalore,C0005,D0005,,0,M0018,UPI,SCENARIO-C0005,COMMUNICATION_SCAM,baseline,2025-07-04 23:17:11,T000043
4539.75,Bangalore,C0005,D0005,,0,M0020,UPI,SCENARIO-C0005,COMMUNICATION_SCAM,baseline,2025-07-07 20:16:37,T000044
11106.98,Bangalore,C0005,D0005,large_purchase,0,M0018,UPI,SCENARIO-C0005,COMMUNICATION_SCAM,baseline,2025-07-08 09:24:24,T000045
3921.63,Bangalore,C0005,D0005,,0,M0018,UPI,SCENARIO-C0005,COMMUNICATION_SCAM,baseline,2025-07-09 09:23:41,T000046
4148.3,Bangalore,C0005,D0005,off_hour,0,M0018,UPI,SCENARIO-C0005,COMMUNICATION_SCAM,baseline,2025-07-09 07:28:54,T000047
3563.41,Bangalore,C0005,D0005,,0,M0020,UPI,SCENARIO-C0005,COMMUNICATION_SCAM,baseline,2025-07-18 09:05:07,T000048
4235.73,Hyderabad,C0005,D0005,new_city,0,M0022,UPI,SCENARIO-C0005,COMMUNICATION_SCAM,baseline,2025-07-18 10:57:08,T000049
5812.89,Bangalore,C0005,D0005,new_merchant,0,M0015,UPI,SCENARIO-C0005,COMMUNICATION_SCAM,baseline,2025-07-18 12:07:06,T000050
2663.89,Delhi,C0006,D0006,,0,M0019,UPI,SCENARIO-C0006,CLASSIFIER_EVALUATION,baseline,2025-06-23 17:05:47,T000051
6387.6,Delhi,C0006,D0006,large_purchase,0,M0116,UPI,SCENARIO-C0006,CLASSIFIER_EVALUATION,baseline,2025-06-23 19:20:06,T000052
4136.29,Delhi,C0006,D0006,,0,M0116,UPI,SCENARIO-C0006,CLASSIFIER_EVALUATION,baseline,2025-06-29 13:16:04,T000053
4332.86,Delhi,C0006,D0006,,0,M0012,UPI,SCENARIO-C0006,CLASSIFIER_EVALUATION,baseline,2025-07-03 10:40:55,T000054
9168.89,Delhi,C0006,D0006,large_purchase,0,M0033,UPI,SCENARIO-C0006,CLASSIFIER_EVALUATION,baseline,2025-07-03 17:03:44,T000055
1457.66,Delhi,C0006,D0006,,0,M0033,UPI,SCENARIO-C0006,CLASSIFIER_EVALUATION,baseline,2025-07-09 15:52:44,T000056
4348.38,Delhi,C0006,D0006,weekend_spike,0,M0116,UPI,SCENARIO-C0006,CLASSIFIER_EVALUATION,baseline,2025-07-13 14:28:14,T000057
1941.07,Delhi,C0006,D0006,,0,M0116,UPI,SCENARIO-C0006,CLASSIFIER_EVALUATION,baseline,2025-07-17 18:55:25,T000058
3978.8,Delhi,C0006,D0006,,0,M0019,UPI,SCENARIO-C0006,CLASSIFIER_EVALUATION,baseline,2025-07-19 10:46:03,T000059
2629.58,Delhi,C0006,D0006,,0,M0116,UPI,SCENARIO-C0006,CLASSIFIER_EVALUATION,baseline,2025-07-20 17:41:50,T000060
2592.37,Mumbai,C0007,D0007,new_merchant,0,M0102,CARD,SCENARIO-C0007,KYC_IDENTITY,baseline,2025-06-26 11:35:47,T000061
2827.45,Mumbai,C0007,D0007,,0,M0045,CARD,SCENARIO-C0007,KYC_IDENTITY,baseline,2025-07-07 17:58:44,T000062
2882.18,Mumbai,C0007,D0007,,0,M0057,CARD,SCENARIO-C0007,KYC_IDENTITY,baseline,2025-07-08 19:39:03,T000063
16576.23,Mumbai,C0007,D0007,off_hour,0,M0088,CARD,SCENARIO-C0007,KYC_IDENTITY,baseline,2025-07-11 06:04:41,T000064
2816.22,Mumbai,C0007,D0007,,0,M0094,CARD,SCENARIO-C0007,KYC_IDENTITY,baseline,2025-07-12 09:54:45,T000065
2571.67,Mumbai,C0007,D0007,,0,M0084,CARD,SCENARIO-C0007,KYC_IDENTITY,baseline,2025-07-14 08:42:55,T000066
3022.08,Mumbai,C0007,D0007,,0,M0084,CARD,SCENARIO-C0007,KYC_IDENTITY,baseline,2025-07-15 19:31:57,T000067
2976.18,Mumbai,C0007,D0007,,0,M0084,CARD,SCENARIO-C0007,KYC_IDENTITY,baseline,2025-07-17 08:57:17,T000068
3245.0,Mumbai,C0007,D0007,,0,M0084,CARD,SCENARIO-C0007,KYC_IDENTITY,baseline,2025-07-18 09:53:56,T000069
6940.99,Mumbai,C0007,D0007,large_purchase,0,M0084,CARD,SCENARIO-C0007,KYC_IDENTITY,baseline,2025-07-18 10:45:40,T000070
2690.78,Hyderabad,C0008,D0008,,0,M0042,UPI,SCENARIO-C0008,KYC_IDENTITY,baseline,2025-06-24 06:39:43,T000071
3158.41,Hyderabad,C0008,D0008,,0,M0115,UPI,SCENARIO-C0008,KYC_IDENTITY,baseline,2025-06-24 20:11:51,T000072
3315.1,Hyderabad,C0008,D0008,,0,M0097,UPI,SCENARIO-C0008,KYC_IDENTITY,baseline,2025-07-02 18:46:31,T000073
2275.34,Hyderabad,C0008,D0008,,0,M0108,UPI,SCENARIO-C0008,KYC_IDENTITY,baseline,2025-07-04 06:26:44,T000074
3972.05,Hyderabad,C0008,D0008,,0,M0042,UPI,SCENARIO-C0008,KYC_IDENTITY,baseline,2025-07-06 08:59:13,T000075
5698.25,Hyderabad,C0008,D0008,,0,M0097,UPI,SCENARIO-C0008,KYC_IDENTITY,baseline,2025-07-06 18:45:04,T000076
4643.17,Hyderabad,C0008,D0008,,0,M0097,UPI,SCENARIO-C0008,KYC_IDENTITY,baseline,2025-07-06 20:49:38,T000077
7313.4,Bangalore,C0008,D0008,travel_episode,0,M0042,UPI,SCENARIO-C0008,KYC_IDENTITY,baseline,2025-07-10 07:36:27,T000078
3238.4,Hyderabad,C0008,D0008,,0,M0042,UPI,SCENARIO-C0008,KYC_IDENTITY,baseline,2025-07-12 21:19:08,T000079
5020.09,Hyderabad,C0008,D0008,new_merchant,0,M0012,UPI,SCENARIO-C0008,KYC_IDENTITY,baseline,2025-07-14 07:14:27,T000080
2292.71,Pune,C0009,D0009,alternate_payment_method,0,M0093,UPI,SCENARIO-C0009,TRANSACTION_ANOMALY,baseline,2025-06-21 22:25:04,T000081
2330.68,Pune,C0009,D0009,,0,M0077,NET_BANKING,SCENARIO-C0009,TRANSACTION_ANOMALY,baseline,2025-06-26 10:33:23,T000082
1662.16,Pune,C0009,D0009,,0,M0093,NET_BANKING,SCENARIO-C0009,TRANSACTION_ANOMALY,baseline,2025-06-26 19:38:45,T000083
2394.86,Pune,C0009,D0009,,0,M0069,NET_BANKING,SCENARIO-C0009,TRANSACTION_ANOMALY,baseline,2025-06-30 11:53:40,T000084
1964.95,Pune,C0009,D0009,,0,M0093,NET_BANKING,SCENARIO-C0009,TRANSACTION_ANOMALY,baseline,2025-07-07 20:19:44,T000085
2300.3,Pune,C0009,D0009,,0,M0077,NET_BANKING,SCENARIO-C0009,TRANSACTION_ANOMALY,baseline,2025-07-08 19:12:26,T000086
2411.32,Pune,C0009,D0009,,0,M0043,NET_BANKING,SCENARIO-C0009,TRANSACTION_ANOMALY,baseline,2025-07-11 19:02:39,T000087
2494.64,Pune,C0009,D0009,,0,M0103,NET_BANKING,SCENARIO-C0009,TRANSACTION_ANOMALY,baseline,2025-07-16 21:06:18,T000088
4759.52,Pune,C0009,D0009,large_purchase,0,M0077,NET_BANKING,SCENARIO-C0009,TRANSACTION_ANOMALY,baseline,2025-07-17 09:41:32,T000089
2264.37,Pune,C0009,D0009,,0,M0043,NET_BANKING,SCENARIO-C0009,TRANSACTION_ANOMALY,baseline,2025-07-20 07:11:59,T000090
3018.15,Hyderabad,C0010,D0010,,0,M0013,UPI,SCENARIO-C0010,TRANSACTION_ANOMALY,baseline,2025-06-19 09:03:01,T000091
1703.74,Hyderabad,C0010,D0010,,0,M0100,UPI,SCENARIO-C0010,TRANSACTION_ANOMALY,baseline,2025-06-22 08:39:58,T000092
2375.78,Hyderabad,C0010,D0010,,0,M0065,UPI,SCENARIO-C0010,TRANSACTION_ANOMALY,baseline,2025-06-25 11:44:26,T000093
2471.6,Hyderabad,C0010,D0010,,0,M0100,UPI,SCENARIO-C0010,TRANSACTION_ANOMALY,baseline,2025-06-29 08:46:32,T000094
1916.8,Hyderabad,C0010,D0010,,0,M0011,UPI,SCENARIO-C0010,TRANSACTION_ANOMALY,baseline,2025-07-02 17:00:42,T000095
2265.61,Hyderabad,C0010,D0010,,0,M0100,UPI,SCENARIO-C0010,TRANSACTION_ANOMALY,baseline,2025-07-08 09:34:20,T000096
3304.1,Hyderabad,C0010,D0010,,0,M0013,UPI,SCENARIO-C0010,TRANSACTION_ANOMALY,baseline,2025-07-11 10:52:04,T000097
2412.2,Hyderabad,C0010,D0010,,0,M0074,UPI,SCENARIO-C0010,TRANSACTION_ANOMALY,baseline,2025-07-12 11:25:04,T000098
3804.88,Hyderabad,C0010,D0010,,0,M0074,UPI,SCENARIO-C0010,TRANSACTION_ANOMALY,baseline,2025-07-14 09:27:34,T000099
1476.39,Hyderabad,C0010,D0010,alternate_payment_method,0,M0074,CARD,SCENARIO-C0010,TRANSACTION_ANOMALY,baseline,2025-07-18 11:49:13,T000100
12567.34,Delhi,C0011,D0011,,0,M0019,CARD,SCENARIO-C0011,COMMUNICATION_SCAM,baseline,2025-06-26 11:18:27,T000101
5881.61,Delhi,C0011,D0011,,0,M0012,CARD,SCENARIO-C0011,COMMUNICATION_SCAM,baseline,2025-06-27 16:09:37,T000102
2976.86,Delhi,C0011,D0011,,0,M0012,CARD,SCENARIO-C0011,COMMUNICATION_SCAM,baseline,2025-07-04 16:31:35,T000103
3313.55,Delhi,C0011,D0011,,0,M0048,CARD,SCENARIO-C0011,COMMUNICATION_SCAM,baseline,2025-07-07 08:48:14,T000104
2663.28,Delhi,C0011,D0011,,0,M0012,CARD,SCENARIO-C0011,COMMUNICATION_SCAM,baseline,2025-07-11 17:58:27,T000105
3701.54,Delhi,C0011,D0011,,0,M0053,CARD,SCENARIO-C0011,COMMUNICATION_SCAM,baseline,2025-07-13 07:57:13,T000106
4331.76,Delhi,C0011,D0011,,0,M0012,CARD,SCENARIO-C0011,COMMUNICATION_SCAM,baseline,2025-07-15 19:33:00,T000107
3644.42,Delhi,C0011,D0011,,0,M0053,CARD,SCENARIO-C0011,COMMUNICATION_SCAM,baseline,2025-07-18 07:27:04,T000108
1507.81,Delhi,C0011,D0011,,0,M0012,CARD,SCENARIO-C0011,COMMUNICATION_SCAM,baseline,2025-07-18 16:57:50,T000109
6275.71,Pune,C0011,D0011,large_purchase|travel_episode,0,M0032,CARD,SCENARIO-C0011,COMMUNICATION_SCAM,baseline,2025-07-20 19:48:04,T000110
4264.39,Bangalore,C0012,D0012,,0,M0036,UPI,SCENARIO-C0012,CLASSIFIER_EVALUATION,baseline,2025-06-22 18:33:00,T000111
3925.65,Bangalore,C0012,D0012,,0,M0022,UPI,SCENARIO-C0012,CLASSIFIER_EVALUATION,baseline,2025-06-27 12:10:15,T000112
4070.85,Bangalore,C0012,D0012,,0,M0107,UPI,SCENARIO-C0012,CLASSIFIER_EVALUATION,baseline,2025-06-28 13:00:02,T000113
12118.78,Bangalore,C0012,D0012,large_purchase,0,M0036,UPI,SCENARIO-C0012,CLASSIFIER_EVALUATION,baseline,2025-07-02 21:07:00,T000114
3199.63,Mumbai,C0012,D0012,new_city,0,M0107,UPI,SCENARIO-C0012,CLASSIFIER_EVALUATION,baseline,2025-07-04 21:19:22,T000115
3722.09,Bangalore,C0012,D0012,,0,M0096,UPI,SCENARIO-C0012,CLASSIFIER_EVALUATION,baseline,2025-07-06 11:49:23,T000116
3781.97,Pune,C0012,D0012,travel_episode,0,M0036,UPI,SCENARIO-C0012,CLASSIFIER_EVALUATION,baseline,2025-07-07 10:41:03,T000117
3771.04,Bangalore,C0012,D0012,alternate_payment_method,0,M0022,NET_BANKING,SCENARIO-C0012,CLASSIFIER_EVALUATION,baseline,2025-07-12 21:43:40,T000118
3588.74,Bangalore,C0012,D0012,,0,M0022,UPI,SCENARIO-C0012,CLASSIFIER_EVALUATION,baseline,2025-07-18 10:15:43,T000119
3462.52,Bangalore,C0012,D0012,,0,M0022,UPI,SCENARIO-C0012,CLASSIFIER_EVALUATION,baseline,2025-07-18 18:39:09,T000120
1386.7,Hyderabad,C0013,D0013,,0,M0100,UPI,SCENARIO-C0013,LONGITUDINAL_BEHAVIOR,baseline,2025-06-24 08:57:15,T000121
4132.82,Hyderabad,C0013,D0013,,0,M0108,UPI,SCENARIO-C0013,LONGITUDINAL_BEHAVIOR,baseline,2025-07-02 16:48:05,T000122
2914.9,Hyderabad,C0013,D0013,off_hour,0,M0108,UPI,SCENARIO-C0013,LONGITUDINAL_BEHAVIOR,baseline,2025-07-02 07:40:05,T000123
5263.44,Hyderabad,C0013,D0013,,0,M0066,UPI,SCENARIO-C0013,LONGITUDINAL_BEHAVIOR,baseline,2025-07-04 19:02:00,T000124
3774.04,Hyderabad,C0013,D0013,,0,M0066,UPI,SCENARIO-C0013,LONGITUDINAL_BEHAVIOR,baseline,2025-07-09 08:35:31,T000125
3421.9,Hyderabad,C0013,D0013,,0,M0108,UPI,SCENARIO-C0013,LONGITUDINAL_BEHAVIOR,baseline,2025-07-13 17:37:44,T000126
4407.09,Hyderabad,C0013,D0013,off_hour,0,M0066,UPI,SCENARIO-C0013,LONGITUDINAL_BEHAVIOR,baseline,2025-07-13 05:51:46,T000127
2452.79,Hyderabad,C0013,D0013,,0,M0108,UPI,SCENARIO-C0013,LONGITUDINAL_BEHAVIOR,baseline,2025-07-13 18:52:44,T000128
2188.47,Hyderabad,C0013,D0013,,0,M0066,UPI,SCENARIO-C0013,LONGITUDINAL_BEHAVIOR,baseline,2025-07-14 08:16:27,T000129
4502.03,Hyderabad,C0013,D0013,,0,M0108,UPI,SCENARIO-C0013,LONGITUDINAL_BEHAVIOR,baseline,2025-07-16 17:57:40,T000130
6374.39,Hyderabad,C0014,D0014,new_merchant|new_city,0,M0033,UPI,SCENARIO-C0014,LONGITUDINAL_BEHAVIOR,baseline,2025-06-24 14:17:25,T000131
5426.64,Bangalore,C0014,D0014,,0,M0036,UPI,SCENARIO-C0014,LONGITUDINAL_BEHAVIOR,baseline,2025-06-26 16:21:07,T000132
5455.36,Bangalore,C0014,D0014,weekend_spike,0,M0022,UPI,SCENARIO-C0014,LONGITUDINAL_BEHAVIOR,baseline,2025-06-28 10:06:21,T000133
6024.5,Bangalore,C0014,D0014,,0,M0036,UPI,SCENARIO-C0014,LONGITUDINAL_BEHAVIOR,baseline,2025-07-04 13:36:13,T000134
3267.1,Bangalore,C0014,D0014,,0,M0036,UPI,SCENARIO-C0014,LONGITUDINAL_BEHAVIOR,baseline,2025-07-10 20:59:30,T000135
3409.55,Bangalore,C0014,D0014,,0,M0107,UPI,SCENARIO-C0014,LONGITUDINAL_BEHAVIOR,baseline,2025-07-12 17:03:16,T000136
2134.29,Bangalore,C0014,D0014,,0,M0107,UPI,SCENARIO-C0014,LONGITUDINAL_BEHAVIOR,baseline,2025-07-14 11:33:06,T000137
4122.84,Bangalore,C0014,D0014,,0,M0109,UPI,SCENARIO-C0014,LONGITUDINAL_BEHAVIOR,baseline,2025-07-16 12:39:56,T000138
3149.24,Bangalore,C0014,D0014,,0,M0036,UPI,SCENARIO-C0014,LONGITUDINAL_BEHAVIOR,baseline,2025-07-17 10:48:47,T000139
3787.99,Bangalore,C0014,D0014,off_hour,0,M0022,UPI,SCENARIO-C0014,LONGITUDINAL_BEHAVIOR,baseline,2025-07-17 09:39:44,T000140
2977.32,Bangalore,C0015,D0015,,0,M0072,UPI,SCENARIO-C0015,TRANSACTION_ANOMALY,baseline,2025-06-22 17:42:21,T000141
2098.19,Bangalore,C0015,D0015,off_hour,0,M0117,UPI,SCENARIO-C0015,TRANSACTION_ANOMALY,baseline,2025-06-22 06:10:53,T000142
2474.92,Bangalore,C0015,D0015,,0,M0006,UPI,SCENARIO-C0015,TRANSACTION_ANOMALY,baseline,2025-06-22 19:22:08,T000143
11790.05,Bangalore,C0015,D0015,new_merchant,0,M0053,UPI,SCENARIO-C0015,TRANSACTION_ANOMALY,baseline,2025-06-26 15:10:27,T000144
9472.07,Bangalore,C0015,D0015,large_purchase,0,M0063,UPI,SCENARIO-C0015,TRANSACTION_ANOMALY,baseline,2025-06-26 15:45:47,T000145
2365.18,Pune,C0015,D0015,new_city,0,M0028,UPI,SCENARIO-C0015,TRANSACTION_ANOMALY,baseline,2025-07-04 19:31:00,T000146
12380.87,Hyderabad,C0015,D0015,large_purchase|travel_episode,0,M0117,UPI,SCENARIO-C0015,TRANSACTION_ANOMALY,baseline,2025-07-06 11:28:41,T000147
1804.75,Bangalore,C0015,D0015,,0,M0117,UPI,SCENARIO-C0015,TRANSACTION_ANOMALY,baseline,2025-07-11 09:46:31,T000148
4317.78,Bangalore,C0015,D0015,,0,M0072,UPI,SCENARIO-C0015,TRANSACTION_ANOMALY,baseline,2025-07-13 10:38:05,T000149
2040.55,Bangalore,C0015,D0015,off_hour,0,M0117,UPI,SCENARIO-C0015,TRANSACTION_ANOMALY,baseline,2025-07-14 04:53:57,T000150
5758.66,Pune,C0016,D0016,large_purchase,0,M0095,UPI,SCENARIO-C0016,CLASSIFIER_EVALUATION,baseline,2025-06-21 15:06:12,T000151
2452.28,Pune,C0016,D0016,,0,M0005,UPI,SCENARIO-C0016,CLASSIFIER_EVALUATION,baseline,2025-06-21 20:14:38,T000152
2137.08,Pune,C0016,D0016,,0,M0077,UPI,SCENARIO-C0016,CLASSIFIER_EVALUATION,baseline,2025-06-21 20:48:01,T000153
2488.6,Pune,C0016,D0016,,0,M0044,UPI,SCENARIO-C0016,CLASSIFIER_EVALUATION,baseline,2025-07-07 11:30:15,T000154
2117.81,Pune,C0016,D0016,,0,M0077,UPI,SCENARIO-C0016,CLASSIFIER_EVALUATION,baseline,2025-07-11 20:35:18,T000155
4907.7,Pune,C0016,D0016,large_purchase,0,M0095,UPI,SCENARIO-C0016,CLASSIFIER_EVALUATION,baseline,2025-07-12 10:17:57,T000156
8963.72,Pune,C0016,D0016,large_purchase,0,M0044,UPI,SCENARIO-C0016,CLASSIFIER_EVALUATION,baseline,2025-07-13 10:33:16,T000157
2869.67,Delhi,C0016,D0016,travel_episode,0,M0005,UPI,SCENARIO-C0016,CLASSIFIER_EVALUATION,baseline,2025-07-16 09:45:02,T000158
2485.88,Pune,C0016,D0016,,0,M0005,UPI,SCENARIO-C0016,CLASSIFIER_EVALUATION,baseline,2025-07-18 12:11:37,T000159
1593.05,Pune,C0016,D0016,alternate_payment_method,0,M0044,NET_BANKING,SCENARIO-C0016,CLASSIFIER_EVALUATION,baseline,2025-07-18 15:32:45,T000160
2729.37,Delhi,C0017,D0017,,0,M0053,UPI,SCENARIO-C0017,KYC_IDENTITY,baseline,2025-06-23 12:02:07,T000161
3208.76,Delhi,C0017,D0017,,0,M0060,UPI,SCENARIO-C0017,KYC_IDENTITY,baseline,2025-07-01 10:31:41,T000162
8180.64,Delhi,C0017,D0017,,0,M0116,UPI,SCENARIO-C0017,KYC_IDENTITY,baseline,2025-07-04 12:07:12,T000163
2578.73,Delhi,C0017,D0017,,0,M0068,UPI,SCENARIO-C0017,KYC_IDENTITY,baseline,2025-07-09 21:46:13,T000164
3424.85,Mumbai,C0017,D0017,travel_episode,0,M0116,UPI,SCENARIO-C0017,KYC_IDENTITY,baseline,2025-07-15 08:23:49,T000165
3985.93,Delhi,C0017,D0017,new_merchant,0,M0051,UPI,SCENARIO-C0017,KYC_IDENTITY,baseline,2025-07-15 10:54:43,T000166
4150.51,Delhi,C0017,D0017,,0,M0032,UPI,SCENARIO-C0017,KYC_IDENTITY,baseline,2025-07-15 11:26:58,T000167
3160.68,Delhi,C0017,D0017,,0,M0116,UPI,SCENARIO-C0017,KYC_IDENTITY,baseline,2025-07-18 10:38:46,T000168
2945.75,Delhi,C0017,D0017,,0,M0116,UPI,SCENARIO-C0017,KYC_IDENTITY,baseline,2025-07-19 11:02:13,T000169
9765.37,Delhi,C0017,D0017,large_purchase,0,M0032,UPI,SCENARIO-C0017,KYC_IDENTITY,baseline,2025-07-19 12:35:06,T000170
3600.74,Mumbai,C0018,D0018,,0,M0054,NET_BANKING,SCENARIO-C0018,CLASSIFIER_EVALUATION,baseline,2025-06-25 14:39:28,T000171
2986.59,Mumbai,C0018,D0018,off_hour,0,M0026,NET_BANKING,SCENARIO-C0018,CLASSIFIER_EVALUATION,baseline,2025-06-29 09:45:02,T000172
2838.69,Mumbai,C0018,D0018,,0,M0014,NET_BANKING,SCENARIO-C0018,CLASSIFIER_EVALUATION,baseline,2025-07-03 18:33:33,T000173
2394.4,Mumbai,C0018,D0018,,0,M0054,NET_BANKING,SCENARIO-C0018,CLASSIFIER_EVALUATION,baseline,2025-07-04 13:36:22,T000174
7172.1,Mumbai,C0018,D0018,,0,M0105,NET_BANKING,SCENARIO-C0018,CLASSIFIER_EVALUATION,baseline,2025-07-09 11:36:07,T000175
3402.61,Mumbai,C0018,D0018,,0,M0014,NET_BANKING,SCENARIO-C0018,CLASSIFIER_EVALUATION,baseline,2025-07-09 12:18:11,T000176
5001.58,Mumbai,C0018,D0018,new_merchant,0,M0044,NET_BANKING,SCENARIO-C0018,CLASSIFIER_EVALUATION,baseline,2025-07-11 21:04:05,T000177
